node	character
root	Hot Spring
n0	Hot Spring
n3535	Hot Spring
g0053	Gut
n00	Hot Spring
g0002	Hot Spring
n36	Hot Spring
n1	Hot Spring
n11	Freshwater
n11	Gut
n11	Hot Spring
n11	Marine
n11	Soda Lake
n3636	Hot Spring
g0018	Marine
g0038	Hot Spring
g0061	Hot Spring
n2	Freshwater
n2	Marine
n2	Soda Lake
n29	Freshwater
n29	Gut
n37	Hot Spring
n37	Marine
g0019	Hot Spring
n22	Marine
n2121	Soda Lake
n2929	Freshwater
n31	Freshwater
n31	Gut
g0003	Hot Spring
g0003	Marine
g0004	Marine
n3	Marine
n2020	Marine
n2222	Soda Lake
n2727	Soda Lake
n30	Freshwater
n3030	Freshwater
g0032	Gut
n3131	Freshwater
n3131	Gut
n33	Marine
n18	Marine
n21	Marine
g0037	Marine
n23	Soda Lake
g0064	Soda Lake
g0017	Soda Lake
n28	Freshwater
g0023	Freshwater
g990069	Freshwater
g0025	Marine
g990079	Freshwater
n32	Freshwater
n32	Gut
n34	Gut
n34	Marine
n34	Soil
n4	Marine
n1111	Marine
n1818	Marine
n1818	Soda Lake
n1919	Marine
g0021	Marine
g990071	Marine
n2323	Soda Lake
n2626	Soda Lake
n2828	Freshwater
g0054	Freshwater
n3232	Gut
n3333	Freshwater
n3333	Gut
n3434	Soil
n35	Marine
n35	Soil
n44	Marine
n10	Marine
n12	Marine
n13	Marine
n19	Marine
n19	Soda Lake
g0031	Soda Lake
n20	Marine
g0034	Marine
n24	Soda Lake
g0015	Soda Lake
n27	Soda Lake
g0035	Soda Lake
g0024	Gut
g990075	Freshwater
g0028	Gut
g990070	Gut
g0063	Freshwater
g990074	Freshwater
g990074	Gut
g0027	Soil
g990072	Soil
g0000	Gut
g0000	Marine
g0000	Soil
g990076	Marine
n5	Marine
n77	Marine
n1010	Marine
g0042	Marine
n1212	Marine
g0007	Marine
n1313	Marine
n1414	Gut
g0029	Soda Lake
g990067	Marine
g0033	Marine
g990066	Marine
n2424	Soda Lake
n2525	Soda Lake
g0030	Soda Lake
g0036	Soda Lake
n55	Marine
n7	Marine
n8	Marine
g0056	Marine
g0008	Marine
g0057	Marine
g0006	Marine
g0062	Marine
n14	Marine
g990068	Marine
n15	Gut
n17	Gut
g0009	Soda Lake
n25	Soda Lake
g0010	Soda Lake
n26	Soda Lake
g0001	Marine
n6	Marine
g0020	Marine
g0041	Marine
n88	Marine
n9	Marine
g0022	Marine
g990073	Marine
g0044	Gut
n1515	Gut
n1717	Gut
g990078	Gut
g0011	Soda Lake
g0013	Soda Lake
g0012	Soda Lake
g0014	Soda Lake
n66	Marine
g0039	Marine
g0026	Marine
g0055	Marine
n99	Marine
g990077	Marine
n16	Gut
n1616	Gut
g0051	Gut
g990080	Gut
g0016	Soda Lake
g990065	Marine
g0040	Marine
g0043	Marine
g0058	Gut
g0059	Gut
g990081	Gut
g990082	Gut
