Node,Gene,Gene_family,Duplications,Transfers,Losses,Originations,Copies,,Loss,97
240710,80,100_MSA.fa.ufboot.ale.uml_rec,0.08,0.01,0.08,0.01,0.95,,Dup,2
240711,80,1011_MSA.fa.ufboot.ale.uml_rec,0,0.28,0.21,0.01,1.38,,Transfers,130
240713,80,1013_MSA.fa.ufboot.ale.uml_rec,0,0.11,0.01,0,1.05,,,
240723,80,1025_MSA.fa.ufboot.ale.uml_rec,0,0.39,0,0.01,0.99,,,
240725,80,1027_MSA.fa.ufboot.ale.uml_rec,0,0.93,0.05,0.01,1.7,,,
240728,80,102_MSA.fa.ufboot.ale.uml_rec,0,0.05,0.1,0,0.72,,,
240732,80,1033_MSA.fa.ufboot.ale.uml_rec,0,0.13,0,0.08,1.06,,,
240733,80,1034_MSA.fa.ufboot.ale.uml_rec,0,0.04,0,0.05,0.83,,,
240734,80,1035_MSA.fa.ufboot.ale.uml_rec,0,0,0.05,0,0.94,,,
240738,80,1039_MSA.fa.ufboot.ale.uml_rec,0,0.01,0.58,0,0.02,,,
240747,80,1049_MSA.fa.ufboot.ale.uml_rec,0,0.02,0,0,1,,,
240751,80,1053_MSA.fa.ufboot.ale.uml_rec,0,0.05,0.01,0,0.93,,,
240752,80,1054_MSA.fa.ufboot.ale.uml_rec,0,0.76,0.01,0.05,0.95,,,
240757,80,1060_MSA.fa.ufboot.ale.uml_rec,0,0.06,0.01,0,1.01,,,
240758,80,1061_MSA.fa.ufboot.ale.uml_rec,0,0.07,0.03,0.01,0.92,,,
240759,80,1062_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
240760,80,1063_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
240772,80,1078_MSA.fa.ufboot.ale.uml_rec,0,0.01,0.72,0,0.12,,,
240773,80,1079_MSA.fa.ufboot.ale.uml_rec,0.26,0.67,0.02,0.07,1.27,,,
240776,80,1082_MSA.fa.ufboot.ale.uml_rec,0,0,1,0,0,,,
240777,80,1083_MSA.fa.ufboot.ale.uml_rec,0,0.5,0.56,0,1.73,,,
240779,80,1085_MSA.fa.ufboot.ale.uml_rec,0,0.84,0,0.01,0.94,,,
240780,80,1086_MSA.fa.ufboot.ale.uml_rec,0,0.07,0.68,0,0.2,,,
240784,80,1091_MSA.fa.ufboot.ale.uml_rec,0,0,0.71,0.01,0.02,,,
240791,80,10_MSA.fa.ufboot.ale.uml_rec,0,0,0.79,0,0,,,
240797,80,1106_MSA.fa.ufboot.ale.uml_rec,0,0.3,0.22,0,1.42,,,
240800,80,1109_MSA.fa.ufboot.ale.uml_rec,0.03,0.48,0.02,0.07,0.9,,,
240805,80,1115_MSA.fa.ufboot.ale.uml_rec,0.01,0.03,0.82,0,0.9,,,
240808,80,1120_MSA.fa.ufboot.ale.uml_rec,0,0.06,0.05,0.01,0.88,,,
240810,80,1122_MSA.fa.ufboot.ale.uml_rec,0,0.05,0.01,0.01,0.81,,,
240812,80,1124_MSA.fa.ufboot.ale.uml_rec,0,0.09,0.01,0,1,,,
240813,80,1125_MSA.fa.ufboot.ale.uml_rec,0,0.17,0,0,1.03,,,
240817,80,1129_MSA.fa.ufboot.ale.uml_rec,0,0.68,0.22,0,2.12,,,
240821,80,1132_MSA.fa.ufboot.ale.uml_rec,0,0.03,0.04,0.02,0.79,,,
240822,80,1133_MSA.fa.ufboot.ale.uml_rec,0,0,0,0.77,1,,,
240830,80,1142_MSA.fa.ufboot.ale.uml_rec,0,0.2,0.87,0,0.26,,,
240831,80,1143_MSA.fa.ufboot.ale.uml_rec,0,0.44,0,0.27,0.98,,,
240832,80,1144_MSA.fa.ufboot.ale.uml_rec,0,0.03,0.03,0,0.99,,,
240833,80,1145_MSA.fa.ufboot.ale.uml_rec,0,0.02,0.02,0,1.03,,,
240840,80,1153_MSA.fa.ufboot.ale.uml_rec,0,0.26,0.01,0.16,0.5,,,
240844,80,115_MSA.fa.ufboot.ale.uml_rec,0,0,0.66,0,0.06,,,
240847,80,1164_MSA.fa.ufboot.ale.uml_rec,0.11,0.03,0.38,0.03,0.67,,,
240848,80,1165_MSA.fa.ufboot.ale.uml_rec,0,0.07,0.11,0.01,1.17,,,
