Node,Gene,Gene_family,Duplications,Transfers,Losses,Originations,Copies,,,
316651,90,4006_MSA.fa.ufboot.ale.uml_rec,1.12,0.3,0.06,0.17,1.95,,Loss,22
314887,90,228_MSA.fa.ufboot.ale.uml_rec,0.59,0.26,0.01,0.5,1.56,,Dup,2
313853,90,1233_MSA.fa.ufboot.ale.uml_rec,0.47,0.01,0.01,0.01,1.48,,Transfers,144
315946,90,3327_MSA.fa.ufboot.ale.uml_rec,0.32,0,0.01,0.01,1.33,,,
315434,90,2826_MSA.fa.ufboot.ale.uml_rec,0.31,0.24,0.02,0.07,1.18,,,
313946,90,1334_MSA.fa.ufboot.ale.uml_rec,0.31,0.01,0,0.02,1.3,,,
319061,90,610_MSA.fa.ufboot.ale.uml_rec,0.3,0.15,0.19,0.03,2.01,,,
315171,90,2571_MSA.fa.ufboot.ale.uml_rec,0.27,0.17,0.14,0.05,1.11,,,
315798,90,3209_MSA.fa.ufboot.ale.uml_rec,0.23,0.3,0.06,0.14,1.03,,,
315503,90,28_MSA.fa.ufboot.ale.uml_rec,0.23,0,0.04,0,1.33,,,
315966,90,3329_MSA.fa.ufboot.ale.uml_rec,0.22,0.68,0.08,0.07,1.68,,,
318929,90,592_MSA.fa.ufboot.ale.uml_rec,0.21,0.39,0.74,0.02,1.9,,,
314441,90,1862_MSA.fa.ufboot.ale.uml_rec,0.21,0.48,0.01,0,1.11,,,
316983,90,4330_MSA.fa.ufboot.ale.uml_rec,0.21,0.29,0,0.36,0.98,,,
313731,90,10_MSA.fa.ufboot.ale.uml_rec,0.2,0.05,0.05,0.01,1.11,,,
314504,90,1926_MSA.fa.ufboot.ale.uml_rec,0.2,0.46,0.05,0.08,1.61,,,
314386,90,1803_MSA.fa.ufboot.ale.uml_rec,0.2,0.22,0.04,0.1,0.93,,,
320897,90,894_MSA.fa.ufboot.ale.uml_rec,0.2,0.23,0.02,0.13,0.65,,,
320933,90,929_MSA.fa.ufboot.ale.uml_rec,0.19,0.32,0.06,0.04,1.69,,,
315566,90,2963_MSA.fa.ufboot.ale.uml_rec,0.19,0.44,0.02,0.15,0.99,,,
314481,90,1901_MSA.fa.ufboot.ale.uml_rec,0.19,0.32,0.01,0,1.26,,,
315571,90,2968_MSA.fa.ufboot.ale.uml_rec,0.19,0.54,0,0.05,0.96,,,
315235,90,2634_MSA.fa.ufboot.ale.uml_rec,0.18,0.14,0.14,0,1.78,,,
314581,90,2003_MSA.fa.ufboot.ale.uml_rec,0.18,0,0,0,1.18,,,
315814,90,3205_MSA.fa.ufboot.ale.uml_rec,0.17,0.22,0.05,0.21,0.77,,,
315187,90,2589_MSA.fa.ufboot.ale.uml_rec,0.17,0.04,0.04,0,1.18,,,
315270,90,2669_MSA.fa.ufboot.ale.uml_rec,0.17,0.03,0.04,0.53,1.15,,,
319916,90,7074_MSA.fa.ufboot.ale.uml_rec,0.17,0,0.04,0,1.18,,,
314186,90,15_MSA.fa.ufboot.ale.uml_rec,0.17,0.06,0.03,0.14,0.61,,,
318817,90,581_MSA.fa.ufboot.ale.uml_rec,0.17,0.43,0.01,0,1.51,,,
315558,90,2956_MSA.fa.ufboot.ale.uml_rec,0.17,0.24,0,0.63,1.17,,,
313777,90,114_MSA.fa.ufboot.ale.uml_rec,0.16,0.15,0.21,0,1.46,,,
314446,90,1867_MSA.fa.ufboot.ale.uml_rec,0.16,0.1,0.07,0.02,1.02,,,
314378,90,1797_MSA.fa.ufboot.ale.uml_rec,0.16,0.03,0.03,0.03,1.01,,,
317090,90,4457_MSA.fa.ufboot.ale.uml_rec,0.16,0,0.03,0,1.23,,,
317445,90,47_MSA.fa.ufboot.ale.uml_rec,0.16,0,0.02,0.02,1.17,,,
315546,90,2943_MSA.fa.ufboot.ale.uml_rec,0.16,0.45,0,0,1.21,,,
315262,90,2660_MSA.fa.ufboot.ale.uml_rec,0.15,0.37,0.03,0.15,1.24,,,
315735,90,3150_MSA.fa.ufboot.ale.uml_rec,0.15,0.3,0.02,0.1,0.97,,,
318507,90,574_MSA.fa.ufboot.ale.uml_rec,0.15,0.05,0.02,0.08,0.89,,,
315714,90,3115_MSA.fa.ufboot.ale.uml_rec,0.15,0.49,0.01,0.08,1.13,,,
315771,90,319_MSA.fa.ufboot.ale.uml_rec,0.15,0,0,0.73,1.16,,,
316878,90,4246_MSA.fa.ufboot.ale.uml_rec,0.15,0.07,0,0.1,1.13,,,
313734,90,1103_MSA.fa.ufboot.ale.uml_rec,0.14,0,0.31,0,3.33,,,
317039,90,4394_MSA.fa.ufboot.ale.uml_rec,0.14,0.18,0.08,0.03,1.04,,,
315811,90,3223_MSA.fa.ufboot.ale.uml_rec,0.14,0.28,0.07,0.04,0.87,,,
315675,90,3081_MSA.fa.ufboot.ale.uml_rec,0.14,0,0,0.83,1.14,,,
313661,90,1023_MSA.fa.ufboot.ale.uml_rec,0.13,0.04,0.02,0.04,1.15,,,
315460,90,2852_MSA.fa.ufboot.ale.uml_rec,0.13,0.3,0.01,0.2,0.69,,,
314240,90,1653_MSA.fa.ufboot.ale.uml_rec,0.12,0.64,0.09,0.01,1.54,,,
317348,90,46_MSA.fa.ufboot.ale.uml_rec,0.12,0.15,0.07,0.34,0.77,,,
320214,90,668_MSA.fa.ufboot.ale.uml_rec,0.11,0.48,0.03,0.26,1.2,,,
314060,90,1450_MSA.fa.ufboot.ale.uml_rec,0.11,0,0,0.71,1.11,,,
316652,90,3992_MSA.fa.ufboot.ale.uml_rec,0.11,0.05,0,0.53,0.83,,,
320812,90,883_MSA.fa.ufboot.ale.uml_rec,0.1,0.04,0.06,0.03,0.8,,,
313808,90,1186_MSA.fa.ufboot.ale.uml_rec,0.1,0.04,0.03,0.09,0.82,,,
316704,90,4087_MSA.fa.ufboot.ale.uml_rec,0.09,0.08,0.18,0.05,0.78,,,
318504,90,571_MSA.fa.ufboot.ale.uml_rec,0.09,0.1,0.11,0.07,0.7,,,
319228,90,6437_MSA.fa.ufboot.ale.uml_rec,0.09,0,0.1,0,1.11,,,
317996,90,5294_MSA.fa.ufboot.ale.uml_rec,0.09,0.12,0.09,0.05,1.3,,,
313788,90,1165_MSA.fa.ufboot.ale.uml_rec,0.09,0.46,0.07,0.03,1.7,,,
320843,90,760_MSA.fa.ufboot.ale.uml_rec,0.09,0.3,0.01,0.14,0.8,,,
316346,90,349_MSA.fa.ufboot.ale.uml_rec,0.09,0.62,0,0,0.73,,,
316529,90,38_MSA.fa.ufboot.ale.uml_rec,0.08,0.09,0.58,0,1.39,,,
313892,90,1281_MSA.fa.ufboot.ale.uml_rec,0.08,0.16,0.09,0.06,0.73,,,
318554,90,5815_MSA.fa.ufboot.ale.uml_rec,0.08,0.02,0.07,0.1,0.83,,,
319205,90,6415_MSA.fa.ufboot.ale.uml_rec,0.08,0.04,0.01,0.05,0.79,,,
316828,90,4221_MSA.fa.ufboot.ale.uml_rec,0.08,0,0,0.76,1.08,,,
316856,90,4215_MSA.fa.ufboot.ale.uml_rec,0.08,0,0,0.75,1.1,,,
317293,90,4630_MSA.fa.ufboot.ale.uml_rec,0.07,0.02,0.15,0.01,1.81,,,
316760,90,4130_MSA.fa.ufboot.ale.uml_rec,0.07,0.1,0.08,0.06,0.6,,,
314693,90,2106_MSA.fa.ufboot.ale.uml_rec,0.07,0.66,0.07,0,1.04,,,
315390,90,2784_MSA.fa.ufboot.ale.uml_rec,0.07,0.15,0.04,0.02,0.82,,,
313666,90,1028_MSA.fa.ufboot.ale.uml_rec,0.07,0.01,0.03,0.21,0.74,,,
316555,90,3926_MSA.fa.ufboot.ale.uml_rec,0.07,0.01,0.03,0.03,1.04,,,
315746,90,3131_MSA.fa.ufboot.ale.uml_rec,0.07,0.18,0.02,0.03,0.51,,,
319997,90,662_MSA.fa.ufboot.ale.uml_rec,0.07,0.03,0.02,0.01,1.05,,,
314185,90,1599_MSA.fa.ufboot.ale.uml_rec,0.07,0.73,0.01,0,1.07,,,
315892,90,3229_MSA.fa.ufboot.ale.uml_rec,0.07,0.29,0,0.38,0.95,,,
315958,90,3374_MSA.fa.ufboot.ale.uml_rec,0.07,0,0,0.81,1.08,,,
315996,90,3409_MSA.fa.ufboot.ale.uml_rec,0.06,0.11,0.31,0,1.21,,,
314259,90,1675_MSA.fa.ufboot.ale.uml_rec,0.06,0.25,0.1,0.01,0.57,,,
314489,90,1909_MSA.fa.ufboot.ale.uml_rec,0.06,0.16,0.1,0.46,1.02,,,
313986,90,1373_MSA.fa.ufboot.ale.uml_rec,0.06,0.35,0.06,0.02,0.96,,,
315604,90,299_MSA.fa.ufboot.ale.uml_rec,0.06,0.14,0.06,0,0.71,,,
315222,90,2621_MSA.fa.ufboot.ale.uml_rec,0.06,0.25,0.04,0.05,1.17,,,
320822,90,704_MSA.fa.ufboot.ale.uml_rec,0.06,0.55,0.04,0.04,1.59,,,
319186,90,6385_MSA.fa.ufboot.ale.uml_rec,0.06,0,0.03,0,1.07,,,
314393,90,180_MSA.fa.ufboot.ale.uml_rec,0.06,0.44,0.02,0.06,1.12,,,
315779,90,3158_MSA.fa.ufboot.ale.uml_rec,0.06,0.17,0.02,0.24,0.84,,,
313722,90,108_MSA.fa.ufboot.ale.uml_rec,0.06,0.02,0.01,0.39,0.58,,,
314408,90,1824_MSA.fa.ufboot.ale.uml_rec,0.06,0.14,0.01,0.06,1.02,,,
315668,90,3061_MSA.fa.ufboot.ale.uml_rec,0.06,0.42,0.01,0.22,1.02,,,
316306,90,3616_MSA.fa.ufboot.ale.uml_rec,0.06,0.21,0.01,0.25,0.85,,,
313997,90,1383_MSA.fa.ufboot.ale.uml_rec,0.06,0,0,0.86,1.06,,,
319538,90,6733_MSA.fa.ufboot.ale.uml_rec,0.06,0.15,0,0.22,0.5,,,
314621,90,2040_MSA.fa.ufboot.ale.uml_rec,0.05,0.92,0.58,0.02,1.05,,,
318265,90,5541_MSA.fa.ufboot.ale.uml_rec,0.05,0.04,0.29,0.01,1.11,,,
319206,90,6413_MSA.fa.ufboot.ale.uml_rec,0.05,0.03,0.04,0.05,0.72,,,
316457,90,382_MSA.fa.ufboot.ale.uml_rec,0.05,0.3,0.03,0.01,0.59,,,
317584,90,469_MSA.fa.ufboot.ale.uml_rec,0.05,0.16,0.03,0.08,0.67,,,
320924,90,886_MSA.fa.ufboot.ale.uml_rec,0.05,0.48,0.03,0.01,0.98,,,
314428,90,1845_MSA.fa.ufboot.ale.uml_rec,0.05,0.5,0.01,0.03,0.66,,,
313648,90,1007_MSA.fa.ufboot.ale.uml_rec,0.05,0,0,0.84,1.05,,,
