Node,Gene,Gene_family,Duplications,Transfers,Losses,Originations,Copies
160473,69,1005_MSA.fa.ufboot.ale.uml_rec,0,0.03,0,0.78,0.81
160474,69,1007_MSA.fa.ufboot.ale.uml_rec,0.09,0,0.05,0,1.09
160477,69,1011_MSA.fa.ufboot.ale.uml_rec,0.01,1.1,0.01,0.01,2.16
160479,69,1013_MSA.fa.ufboot.ale.uml_rec,0,0.51,0.03,0,1.01
160484,69,1020_MSA.fa.ufboot.ale.uml_rec,0.01,0.05,0.01,0.06,0.54
160486,69,1022_MSA.fa.ufboot.ale.uml_rec,0,0.28,0,0.32,0.79
160487,69,1023_MSA.fa.ufboot.ale.uml_rec,0.05,0.04,0.18,0,1.06
160488,69,1024_MSA.fa.ufboot.ale.uml_rec,0,0.63,0.05,0.03,1.45
160489,69,1025_MSA.fa.ufboot.ale.uml_rec,0,0.04,0.05,0.01,0.85
160490,69,1026_MSA.fa.ufboot.ale.uml_rec,0,0.19,0.01,0.14,0.66
160492,69,1028_MSA.fa.ufboot.ale.uml_rec,0.23,0.1,0.1,0.23,1.2
160496,69,1031_MSA.fa.ufboot.ale.uml_rec,0,0.78,0,0.12,1.18
160498,69,1033_MSA.fa.ufboot.ale.uml_rec,0,0.65,0.77,0,1.04
160499,69,1034_MSA.fa.ufboot.ale.uml_rec,0,0.04,0.01,0,1.01
160500,69,1035_MSA.fa.ufboot.ale.uml_rec,0,0,0.89,0,0.01
160503,69,1038_MSA.fa.ufboot.ale.uml_rec,0,0.14,0,0.15,1
160504,69,1039_MSA.fa.ufboot.ale.uml_rec,0,0,0.58,0,0.01
160506,69,1040_MSA.fa.ufboot.ale.uml_rec,0.22,0.36,0.04,0.37,1.11
160510,69,1044_MSA.fa.ufboot.ale.uml_rec,0,0.36,0.05,0.02,0.85
160513,69,1049_MSA.fa.ufboot.ale.uml_rec,0.01,0.13,0.01,0.02,0.97
160516,69,1052_MSA.fa.ufboot.ale.uml_rec,0,0.17,0.07,0,0.69
160519,69,1055_MSA.fa.ufboot.ale.uml_rec,0,0,0,1,1
160526,69,1063_MSA.fa.ufboot.ale.uml_rec,0,0.01,0.01,0,1
160535,69,1072_MSA.fa.ufboot.ale.uml_rec,0,0.32,0.03,0.02,1.1
160537,69,1074_MSA.fa.ufboot.ale.uml_rec,0,0.31,0,0.33,0.82
160539,69,1079_MSA.fa.ufboot.ale.uml_rec,0,0.06,0.16,0.03,0.66
160541,69,1081_MSA.fa.ufboot.ale.uml_rec,0,0.08,0.12,0.01,0.56
160542,69,1082_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1
160543,69,1083_MSA.fa.ufboot.ale.uml_rec,0,0.16,0.02,0.01,2.12
160546,69,1086_MSA.fa.ufboot.ale.uml_rec,0,0.52,0.18,0,1.22
160548,69,108_MSA.fa.ufboot.ale.uml_rec,0.07,0.34,0.04,0.13,1.08
160552,69,1094_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1
160553,69,1096_MSA.fa.ufboot.ale.uml_rec,0,0.13,0.03,0.04,0.55
160557,69,10_MSA.fa.ufboot.ale.uml_rec,0.68,0.14,0.08,0.04,1.89
160558,69,1100_MSA.fa.ufboot.ale.uml_rec,0,0.17,0.01,0.08,0.89
160560,69,1103_MSA.fa.ufboot.ale.uml_rec,0.18,0,0.1,0,3.41
160562,69,1105_MSA.fa.ufboot.ale.uml_rec,0,0.28,0,0.2,0.91
160563,69,1106_MSA.fa.ufboot.ale.uml_rec,0,0.77,0.07,0,2.1
160566,69,1109_MSA.fa.ufboot.ale.uml_rec,0,0.11,0.17,0,0.91
160568,69,1111_MSA.fa.ufboot.ale.uml_rec,0,0.05,0.12,0.02,0.88
160574,69,1120_MSA.fa.ufboot.ale.uml_rec,0,0.68,0.03,0,1.77
160575,69,1121_MSA.fa.ufboot.ale.uml_rec,0.02,0,0,0.85,1.02
160576,69,1122_MSA.fa.ufboot.ale.uml_rec,0,0.08,0.01,0,1
160577,69,1123_MSA.fa.ufboot.ale.uml_rec,0.02,0.16,0.17,0.04,0.97
160578,69,1124_MSA.fa.ufboot.ale.uml_rec,0,0.57,0.18,0,1.01
160579,69,1125_MSA.fa.ufboot.ale.uml_rec,0,0.39,0,0,1
160583,69,1129_MSA.fa.ufboot.ale.uml_rec,0,0.56,0.09,0,2.33
160585,69,1130_MSA.fa.ufboot.ale.uml_rec,0,0.07,0.02,0.01,1
160589,69,1134_MSA.fa.ufboot.ale.uml_rec,0,0.35,0.06,0.03,0.93
160596,69,1142_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1
160598,69,1144_MSA.fa.ufboot.ale.uml_rec,0,0.86,0.26,0,1
160599,69,1145_MSA.fa.ufboot.ale.uml_rec,0,0.23,0.05,0.03,1.06
160600,69,1146_MSA.fa.ufboot.ale.uml_rec,0,0.94,0,0,1
160603,69,114_MSA.fa.ufboot.ale.uml_rec,0.19,0.53,0.14,0.04,2.08
160607,69,1154_MSA.fa.ufboot.ale.uml_rec,0,0.15,0.01,0,1.02
160610,69,115_MSA.fa.ufboot.ale.uml_rec,0,0.04,0.02,0.02,0.8
160612,69,1163_MSA.fa.ufboot.ale.uml_rec,0.06,0.39,0.05,0.1,0.67
160614,69,1165_MSA.fa.ufboot.ale.uml_rec,0,0.02,0.4,0,1.32
160615,69,1166_MSA.fa.ufboot.ale.uml_rec,0.15,0.19,0.07,0,1.1
160617,69,116_MSA.fa.ufboot.ale.uml_rec,0,0.75,0.03,0.14,1.28
160618,69,1170_MSA.fa.ufboot.ale.uml_rec,0,0.09,0.06,0.02,0.57
160620,69,1172_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1
160622,69,1174_MSA.fa.ufboot.ale.uml_rec,0.01,0.75,0,0.1,0.88
160626,69,1179_MSA.fa.ufboot.ale.uml_rec,0.09,0.19,0,0.09,1.22
160627,69,117_MSA.fa.ufboot.ale.uml_rec,0.25,0.04,0,0.78,1.2
160631,69,1183_MSA.fa.ufboot.ale.uml_rec,0.1,0.34,0.02,0.02,0.51
160632,69,1184_MSA.fa.ufboot.ale.uml_rec,0,0.53,0,0.08,1.09
160634,69,1186_MSA.fa.ufboot.ale.uml_rec,0.74,0.38,0.04,0.12,2.02
160635,69,1187_MSA.fa.ufboot.ale.uml_rec,0,0.28,0.1,0.05,0.99
160638,69,118_MSA.fa.ufboot.ale.uml_rec,0,0.28,0.03,0.08,0.65
160641,69,1192_MSA.fa.ufboot.ale.uml_rec,0,0.49,0,0.23,1.15
160643,69,1194_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1
160644,69,1195_MSA.fa.ufboot.ale.uml_rec,0,0.01,0.02,0,1
160645,69,1196_MSA.fa.ufboot.ale.uml_rec,0,0.22,1.01,0,1.16
160646,69,1197_MSA.fa.ufboot.ale.uml_rec,0,0.85,0.25,0,0.98
160648,69,1199_MSA.fa.ufboot.ale.uml_rec,0.03,0.18,0.08,0,1.01
160651,69,1201_MSA.fa.ufboot.ale.uml_rec,0,0,1,0,0
160652,69,1202_MSA.fa.ufboot.ale.uml_rec,0,0,0.86,0,0.01
160659,69,1210_MSA.fa.ufboot.ale.uml_rec,0,0.08,0.74,0,0.75
160663,69,1215_MSA.fa.ufboot.ale.uml_rec,0,0.84,0,0.16,1
160668,69,121_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1
160670,69,1223_MSA.fa.ufboot.ale.uml_rec,0.02,0.46,0.06,0.02,0.81
160674,69,1227_MSA.fa.ufboot.ale.uml_rec,0,0.7,0.01,0.17,1.45
160675,69,1229_MSA.fa.ufboot.ale.uml_rec,0,0.68,0.04,0.03,0.96
160677,69,1231_MSA.fa.ufboot.ale.uml_rec,0,0.3,0,0.31,0.89
160678,69,1232_MSA.fa.ufboot.ale.uml_rec,0,0.5,0,0.17,1.11
160679,69,1233_MSA.fa.ufboot.ale.uml_rec,0.01,0.06,0.53,0,1.02
160680,69,1234_MSA.fa.ufboot.ale.uml_rec,0.01,0.02,0.01,0,1.01
160686,69,123_MSA.fa.ufboot.ale.uml_rec,0.03,0,0,0,1.03
160690,69,1244_MSA.fa.ufboot.ale.uml_rec,0,0.07,0,0,1
160695,69,124_MSA.fa.ufboot.ale.uml_rec,0,0.18,0.01,0.06,0.53
160701,69,125_MSA.fa.ufboot.ale.uml_rec,0,0.37,0,0.03,0.68
160703,69,1263_MSA.fa.ufboot.ale.uml_rec,0,0.31,0.04,0.02,0.63
160708,69,126_MSA.fa.ufboot.ale.uml_rec,0,0.36,0,0.2,0.62
160710,69,1271_MSA.fa.ufboot.ale.uml_rec,0,0.12,0.01,0,1.01
160711,69,1272_MSA.fa.ufboot.ale.uml_rec,0,0.88,0.27,0,0.99
160712,69,1273_MSA.fa.ufboot.ale.uml_rec,0,0.33,0,0.25,0.96
160713,69,1274_MSA.fa.ufboot.ale.uml_rec,0,0.5,0.02,0.03,0.87
160714,69,1275_MSA.fa.ufboot.ale.uml_rec,0.03,0.27,0.03,0.03,1
160716,69,127_MSA.fa.ufboot.ale.uml_rec,0,0.94,0.04,0.07,1.93
160717,69,1280_MSA.fa.ufboot.ale.uml_rec,0,0.17,0.01,0.08,0.5
160718,69,1281_MSA.fa.ufboot.ale.uml_rec,0.79,0.76,0.12,0.18,2.34
160719,69,1282_MSA.fa.ufboot.ale.uml_rec,0.12,0.08,0.03,0.12,0.72
160721,69,1284_MSA.fa.ufboot.ale.uml_rec,0,0.21,0,0.16,0.92
160722,69,1285_MSA.fa.ufboot.ale.uml_rec,0.02,0.79,0.18,0.02,1.54
160725,69,1289_MSA.fa.ufboot.ale.uml_rec,0,0.22,0.06,0,0.75
160726,69,1290_MSA.fa.ufboot.ale.uml_rec,0,0.16,0.01,0.02,1.06
160730,69,1295_MSA.fa.ufboot.ale.uml_rec,0,0.95,0.47,0,1.01
160731,69,1296_MSA.fa.ufboot.ale.uml_rec,0.02,0.53,0.29,0,1.02
160732,69,1297_MSA.fa.ufboot.ale.uml_rec,0,0.87,0.24,0,2.01
160735,69,129_MSA.fa.ufboot.ale.uml_rec,2.22,0.41,0.09,0.43,3.37
160738,69,1301_MSA.fa.ufboot.ale.uml_rec,0,0,0.75,0,0.03
160740,69,1303_MSA.fa.ufboot.ale.uml_rec,0,0,0.65,0.01,0.04
160742,69,1305_MSA.fa.ufboot.ale.uml_rec,0,0.08,0,0,1.03
160743,69,1306_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1
160744,69,1307_MSA.fa.ufboot.ale.uml_rec,0,0.77,0.16,0,0.98
160745,69,1308_MSA.fa.ufboot.ale.uml_rec,0,0.23,0.1,0,0.98
160747,69,1310_MSA.fa.ufboot.ale.uml_rec,0.01,0.06,0.11,0.02,0.74
160748,69,1311_MSA.fa.ufboot.ale.uml_rec,0,0,0.88,0,0.01
160751,69,1314_MSA.fa.ufboot.ale.uml_rec,0,0.37,0.2,0,1
160752,69,1315_MSA.fa.ufboot.ale.uml_rec,0,0,0.72,0,0
160753,69,1316_MSA.fa.ufboot.ale.uml_rec,0,0,0,1,1
160754,69,1317_MSA.fa.ufboot.ale.uml_rec,0,0.03,0,0,0.99
160755,69,1318_MSA.fa.ufboot.ale.uml_rec,0,0.06,0.06,0.01,1
160758,69,1320_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1
160759,69,1321_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1
160760,69,1322_MSA.fa.ufboot.ale.uml_rec,0,0.08,0.01,0,1.03
160761,69,1323_MSA.fa.ufboot.ale.uml_rec,0,0.02,0.02,0,0.99
160762,69,1324_MSA.fa.ufboot.ale.uml_rec,0.01,0.39,0.03,0,2
160763,69,1325_MSA.fa.ufboot.ale.uml_rec,0,0.42,0.03,0,1
160764,69,1326_MSA.fa.ufboot.ale.uml_rec,0,0.21,0.07,0,1.03
160765,69,1327_MSA.fa.ufboot.ale.uml_rec,0,0.01,0,0,1
160766,69,1328_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1
160768,69,1330_MSA.fa.ufboot.ale.uml_rec,0,0.87,0.2,0,1
160769,69,1331_MSA.fa.ufboot.ale.uml_rec,0,0.08,0.01,0,1
160770,69,1332_MSA.fa.ufboot.ale.uml_rec,0,0.14,0.28,0,2.03
160771,69,1333_MSA.fa.ufboot.ale.uml_rec,0,0.04,0.01,0,1
160772,69,1334_MSA.fa.ufboot.ale.uml_rec,0,0.01,0.3,0,1.01
160773,69,1335_MSA.fa.ufboot.ale.uml_rec,0,0.05,0.01,0,1
160774,69,1336_MSA.fa.ufboot.ale.uml_rec,0,0.87,0.09,0,1
160775,69,1337_MSA.fa.ufboot.ale.uml_rec,0,0.25,0.04,0,0.57
160778,69,1340_MSA.fa.ufboot.ale.uml_rec,0,1.15,0.06,0.02,2
160779,69,1341_MSA.fa.ufboot.ale.uml_rec,0,0.52,0,0.05,0.93
160780,69,1342_MSA.fa.ufboot.ale.uml_rec,0,0.43,0.05,0,2.01
160783,69,1347_MSA.fa.ufboot.ale.uml_rec,0,0.47,0.28,0.01,1.08
160785,69,1349_MSA.fa.ufboot.ale.uml_rec,0,0.25,0.19,0,1.01
160787,69,1350_MSA.fa.ufboot.ale.uml_rec,0,0.1,0.02,0,1
160789,69,1352_MSA.fa.ufboot.ale.uml_rec,0,0.78,0.51,0,1
160790,69,1353_MSA.fa.ufboot.ale.uml_rec,0,0.01,0.06,0,0.98
160791,69,1354_MSA.fa.ufboot.ale.uml_rec,0,0.59,0.02,0.01,0.85
160792,69,1355_MSA.fa.ufboot.ale.uml_rec,0,0.13,0.02,0.16,0.52
160793,69,1356_MSA.fa.ufboot.ale.uml_rec,0,0,0.86,0,0.04
160796,69,1359_MSA.fa.ufboot.ale.uml_rec,0,0.01,0.01,0,1
160798,69,1360_MSA.fa.ufboot.ale.uml_rec,0,0.03,0.04,0,0.99
160800,69,1362_MSA.fa.ufboot.ale.uml_rec,0,0.9,0.03,0.01,1.76
160801,69,1363_MSA.fa.ufboot.ale.uml_rec,0,0.07,0.01,0,1
160802,69,1364_MSA.fa.ufboot.ale.uml_rec,0,0.29,0,0,0.97
160803,69,1365_MSA.fa.ufboot.ale.uml_rec,0,0.64,0.01,0.05,1
160804,69,1366_MSA.fa.ufboot.ale.uml_rec,0,0.04,0,0,1
160805,69,1367_MSA.fa.ufboot.ale.uml_rec,0,0.73,0,0.08,0.99
160806,69,1368_MSA.fa.ufboot.ale.uml_rec,0,0.06,0,0,1.01
160807,69,1369_MSA.fa.ufboot.ale.uml_rec,0,0.31,0,0.27,1
160808,69,136_MSA.fa.ufboot.ale.uml_rec,0,0.38,0.04,0.01,0.66
160812,69,1373_MSA.fa.ufboot.ale.uml_rec,0.3,0.9,0.23,0.02,1.95
160813,69,1374_MSA.fa.ufboot.ale.uml_rec,0,0.3,0,0.02,0.87
160814,69,1375_MSA.fa.ufboot.ale.uml_rec,0.01,0.59,0,0.04,1.12
160817,69,1378_MSA.fa.ufboot.ale.uml_rec,0,0.06,0,0.03,0.68
160818,69,1379_MSA.fa.ufboot.ale.uml_rec,0.03,0.62,0.03,0.26,1
160823,69,1383_MSA.fa.ufboot.ale.uml_rec,0.21,0,0,0,1.27
160825,69,1385_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1
160827,69,1387_MSA.fa.ufboot.ale.uml_rec,0,0,0,1,1
160829,69,1390_MSA.fa.ufboot.ale.uml_rec,0,0.89,0.36,0,1.73
160832,69,1393_MSA.fa.ufboot.ale.uml_rec,0,0.02,0.01,0,2
160833,69,1394_MSA.fa.ufboot.ale.uml_rec,0,0.33,0,0.24,0.67
160838,69,13_MSA.fa.ufboot.ale.uml_rec,1.17,0.81,0.11,0.37,2.52
160842,69,1404_MSA.fa.ufboot.ale.uml_rec,0,0.1,0.17,0.02,0.61
160850,69,1412_MSA.fa.ufboot.ale.uml_rec,0,0.13,0.05,0,2.01
160853,69,1416_MSA.fa.ufboot.ale.uml_rec,0,0.18,0.19,0.02,0.56
160858,69,1421_MSA.fa.ufboot.ale.uml_rec,0,0.06,0.13,0,1.02
160859,69,1422_MSA.fa.ufboot.ale.uml_rec,0,0.05,0.07,0,0.86
160864,69,1427_MSA.fa.ufboot.ale.uml_rec,0,0.17,0.01,0,1.07
160865,69,1428_MSA.fa.ufboot.ale.uml_rec,0,0.24,0.01,0,1.18
160868,69,1431_MSA.fa.ufboot.ale.uml_rec,0,1.35,0.05,0,2.21
160872,69,1435_MSA.fa.ufboot.ale.uml_rec,0,0.44,0,0.22,0.92
160873,69,1436_MSA.fa.ufboot.ale.uml_rec,0.01,0.12,0.07,0,2.04
160884,69,1448_MSA.fa.ufboot.ale.uml_rec,0.09,0.55,0.01,0.17,1.02
