Node,Gene,Gene_family,Duplications,Transfers,Losses,Originations,Copies,,Loss,1
321028,91,1103_MSA.fa.ufboot.ale.uml_rec,2.43,0,0,0.78,3.5,,Dup,9
324587,91,4630_MSA.fa.ufboot.ale.uml_rec,0.84,0.03,0,0.72,1.86,,Transfers,107
323823,91,38_MSA.fa.ufboot.ale.uml_rec,0.74,0.07,0.12,0.2,1.8,,,
321071,91,114_MSA.fa.ufboot.ale.uml_rec,0.6,0.24,0.03,0.23,1.36,,,
324848,91,4865_MSA.fa.ufboot.ale.uml_rec,0.59,0.06,0.29,0.02,1.76,,,
321113,91,1196_MSA.fa.ufboot.ale.uml_rec,0.59,0.22,0.02,0.09,1.73,,,
325559,91,5541_MSA.fa.ufboot.ale.uml_rec,0.56,0.03,0.02,0.55,1.3,,,
323290,91,3409_MSA.fa.ufboot.ale.uml_rec,0.53,0.11,0.05,0.28,1.35,,,
323097,91,3198_MSA.fa.ufboot.ale.uml_rec,0.51,0.06,0.01,0.22,1.5,,,
328134,91,875_MSA.fa.ufboot.ale.uml_rec,0.48,0.18,0.02,0.36,1.45,,,
322842,91,2945_MSA.fa.ufboot.ale.uml_rec,0.4,0.17,0.08,0.07,1.7,,,
322465,91,2571_MSA.fa.ufboot.ale.uml_rec,0.39,0.03,0.08,0.33,0.76,,,
326355,91,610_MSA.fa.ufboot.ale.uml_rec,0.36,0.36,0.14,0.07,1.72,,,
324388,91,4409_MSA.fa.ufboot.ale.uml_rec,0.32,0.05,0.02,0.29,0.82,,,
323998,91,4087_MSA.fa.ufboot.ale.uml_rec,0.31,0.02,0.05,0.3,0.74,,,
325290,91,5294_MSA.fa.ufboot.ale.uml_rec,0.31,0.11,0,0.49,1.13,,,
322899,91,2_MSA.fa.ufboot.ale.uml_rec,0.29,0,0.01,0.6,1.07,,,
326223,91,592_MSA.fa.ufboot.ale.uml_rec,0.25,0.12,0.69,0.02,2.02,,,
325708,91,561_MSA.fa.ufboot.ale.uml_rec,0.25,0.02,0.03,0.31,0.63,,,
322556,91,2660_MSA.fa.ufboot.ale.uml_rec,0.24,0.02,0,0.24,0.6,,,
323134,91,326_MSA.fa.ufboot.ale.uml_rec,0.23,0,0,0.7,1.24,,,
322297,91,2412_MSA.fa.ufboot.ale.uml_rec,0.22,0.18,0,0.1,0.78,,,
321186,91,1281_MSA.fa.ufboot.ale.uml_rec,0.21,0.04,0.02,0.2,0.52,,,
326431,91,609_MSA.fa.ufboot.ale.uml_rec,0.18,0.19,0.01,0.04,0.81,,,
321798,91,1926_MSA.fa.ufboot.ale.uml_rec,0.17,0.33,0.02,0.06,0.92,,,
321138,91,1223_MSA.fa.ufboot.ale.uml_rec,0.16,0.06,0.05,0.09,0.65,,,
323075,91,3193_MSA.fa.ufboot.ale.uml_rec,0.16,0.27,0,0.05,0.82,,,
323260,91,3329_MSA.fa.ufboot.ale.uml_rec,0.16,0.15,0,0.32,0.79,,,
321534,91,1653_MSA.fa.ufboot.ale.uml_rec,0.15,0.18,0,0.46,0.86,,,
328116,91,704_MSA.fa.ufboot.ale.uml_rec,0.14,0.29,0.01,0.03,0.98,,,
321739,91,1866_MSA.fa.ufboot.ale.uml_rec,0.14,0.15,0,0.02,1.09,,,
325229,91,5217_MSA.fa.ufboot.ale.uml_rec,0.13,0.1,0.14,0.18,1.05,,,
322016,91,2134_MSA.fa.ufboot.ale.uml_rec,0.13,0,0,0.73,1.13,,,
