,Node,Gene_family,Duplications,Transfers,Losses,Originations,Copies
0,47,1000_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
1,47,100_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
2,48,1000_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
3,48,100_MSA.fa.ufboot.ale.uml_rec,0.0,0.01,0.01,0.0,0.0
4,49,1000_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
5,49,100_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.05,0.0,0.0
6,50,1000_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
7,50,100_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.01,0.0,0.0
8,51,1000_MSA.fa.ufboot.ale.uml_rec,0.0,0.13,0.0,0.04,0.19
9,51,100_MSA.fa.ufboot.ale.uml_rec,0.0,0.01,0.01,0.0,0.0
10,52,1000_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
11,52,100_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.02,0.0,0.0
12,53,1000_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
13,53,100_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
14,54,1000_MSA.fa.ufboot.ale.uml_rec,0.0,0.07,0.0,0.03,1.0
15,54,100_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.01,0.0,0.0
16,55,1000_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
17,55,100_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
18,56,1000_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
19,56,100_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
20,57,1000_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
21,57,100_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
22,58,1000_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
23,58,100_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
24,59,1000_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
25,59,100_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.01,0.01,0.0
26,60,1000_MSA.fa.ufboot.ale.uml_rec,0.0,0.03,0.03,0.02,0.9
27,60,100_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
28,61,1000_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
29,61,100_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
30,62,1000_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.0,0.0,0.0
31,62,100_MSA.fa.ufboot.ale.uml_rec,0.0,0.0,0.02,0.0,0.0
