GeneFamily,OddsRatio_Fisher,PValue_Fisher,OddsRatio_Poisson,PValue_Poisson,cluster_id,type,annotation,length,selective pressure (low = purifying),codon bias,representation,count,% id
pmsf_10003_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.3756928829366095,0.0015458661841564341,10003,CDS,zf-HC2 domain-containing protein,212,2.0,5.0,7,7,75.8
pmsf_10008_MSA_trimmed.ufboot.ale.uml_rec,7.06140350877193,0.002059795704428477,2.468801150379751,0.00488433531493888,10008,CDS,hypothetical protein A2X48_18620,178,0.0,8.0,6,6,88.6
pmsf_10012_MSA_trimmed.ufboot.ale.uml_rec,6.277777777777778,0.001667543125675567,2.2584077095437407,0.004010222416129721,10012,CDS,glutamine amidotransferase,181,0.0,0.0,8,8,78.3
pmsf_10014_MSA_trimmed.ufboot.ale.uml_rec,4.584795321637427,0.00929327067820526,3.2184300638144077,0.010912145071430809,10014,CDS,rhodanese-related sulfurtransferase,317,2.0,8.0,8,8,75.6
pmsf_10015_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.136904761877891,0.004323801402283246,10015,CDS,SO_0444 family Cu/Zn efflux transporter,387,0.0,0.0,4,4,94.3
pmsf_10017_MSA_trimmed.ufboot.ale.uml_rec,6.964285714285714,0.00915764426951268,3.5962327502502545,0.013793243705498,10017,CDS,hypothetical protein,182,3.0,6.0,6,6,93.3
pmsf_10019_MSA_trimmed.ufboot.ale.uml_rec,5.523809523809524,0.016043548931271127,3.187061188473943,0.02570635648694485,10019,CDS,MAG: VOC family protein,128,8.0,,7,7,69.0
pmsf_10022_MSA_trimmed.ufboot.ale.uml_rec,10.311111111111112,0.00024335268279704884,2.3887940923856457,0.0014063958797571057,10022,CDS,transcriptional repressor,130,1.0,8.0,7,7,77.8
pmsf_10024_MSA_trimmed.ufboot.ale.uml_rec,8.775,0.002271739607754233,4.13625333244156,0.0023735208990185203,10024,CDS,hypothetical protein EA353_07550,125,3.0,,6,6,80.3
pmsf_10044_MSA_trimmed.ufboot.ale.uml_rec,3.877551020408163,0.03867309913769712,2.7081328306125387,0.045914443882077,10044,CDS,hypothetical protein EA353_03090,398,6.0,7.0,6,6,77.3
pmsf_10047_MSA_trimmed.ufboot.ale.uml_rec,6.96,0.004382746876322516,3.626733056581754,0.007918630710231508,10047,CDS,"MAG: SDR family oxidoreductase [Metabolism, Fatty Acids|3-Oxoacyl-acyl-carrier protein reductase FabG|0.7]",252,1.0,4.0,7,7,79.3
pmsf_10048_MSA_trimmed.ufboot.ale.uml_rec,7.760869565217392,0.038857772679218125,1.5075324832799284,0.04250628896880703,10048,CDS,,36,,,3,9,97.8
pmsf_10050_MSA_trimmed.ufboot.ale.uml_rec,9.365079365079366,0.004645513009670962,4.136904761877889,0.0043238014022832115,10050,CDS,MAG: hypothetical protein K0B37_15120,510,1.0,5.0,4,4,93.1
