Node,Gene,Gene_family,Duplications,Transfers,Losses,Originations,Copies,annotation
83,592,592_MSA.fa.ufboot.ale.uml_rec,2.67,0.29,0.14,0.05,5.19,>opitutales_genome3|115373 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00558 sodium
83,1173,1173_MSA.fa.ufboot.ale.uml_rec,2.09,0,0,0.88,3.11,>opitutales_genome3|116750 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.04079 cytochrome c biogenesis protein CcsA (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; JACDHS01; JACDHS01; JACDHS01)
83,747,747_MSA.fa.ufboot.ale.uml_rec,1.93,0.47,0.02,0.41,3.05,>opitutales_genome3|115538 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.01053 ABC transporter ATP-binding protein (Bacteria; Deinococcota; Deinococci; Deinococcales; Trueperaceae; SKWV01; SKWV01)
83,1436,1436_MSA.fa.ufboot.ale.uml_rec,0.92,1.55,0.08,0.03,2.79,>opitutales_genome3|115566 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.01137 DNA polymerase III subunit alpha (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; J108; J108)
83,1285,1285_MSA.fa.ufboot.ale.uml_rec,0.01,2.37,0.03,0,2.61,>opitutales_genome3|115171 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00034 sulfite reductase subunit alpha (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; JAFAMB01; JAFAVN01; JAFAVN01)
83,1310,1310_MSA.fa.ufboot.ale.uml_rec,1.01,0.58,0.04,0.13,2.58,>opitutales_genome3|117635 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.06059 polysaccharide biosynthesis tyrosine autokinase (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; J108; J108)
83,299,299_MSA.fa.ufboot.ale.uml_rec,1.53,0.34,0.06,0.24,2.56,>opitutales_genome3|115498 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00961 T9SS type A sorting domain-containing protein
83,929,929_MSA.fa.ufboot.ale.uml_rec,0.27,1.24,0.18,0.02,2.47,>opitutales_genome3|117021 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.04703 TPA
83,1349,1349_MSA.fa.ufboot.ale.uml_rec,0.8,1.03,0.01,0.03,2.4,>opitutales_genome3|115391 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.00589 type II secretory pathway
83,581,581_MSA.fa.ufboot.ale.uml_rec,1.42,0.93,0.16,0,2.3,>opitutales_genome3|116394 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.03241 efflux RND transporter permease subunit (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; REEB01; REEB01)
83,1507,1507_MSA.fa.ufboot.ale.uml_rec,1.04,0.05,0.05,0.44,2.23,>opitutales_genome3|115584 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.01173 PEP-CTERM sorting domain-containing protein (Bacteria; Planctomycetota; Phycisphaerae; SM23-33; FEN-1343; JABMQG01; JABMQG01)
83,4865,4865_MSA.fa.ufboot.ale.uml_rec,1.07,0.08,0.33,0.02,2.22,>opitutales_genome3|115290 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00354 tripartite tricarboxylate transporter TctB family protein (Bacteria; Acidobacteriota; Vicinamibacteria; Vicinamibacterales; 2-12-FULL-66-21; JACDCA01; JACDCA01)
83,2330,2330_MSA.fa.ufboot.ale.uml_rec,0.93,1.03,0.1,0,2.17,>opitutales_genome3|115306 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00415 hypothetical protein (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; DSM-45221; WN38; WN38)
83,5577,5577_MSA.fa.ufboot.ale.uml_rec,1.12,0,0,0.8,2.16,>opitutales_genome3|117205 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.05232 metal ABC transporter substrate-binding protein (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; Pedosphaera; Pedosphaera)
83,2644,2644_MSA.fa.ufboot.ale.uml_rec,0.48,1.27,0.01,0.11,2.15,>opitutales_genome3|115344 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00494 dehydrogenase (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; DSM-45221; UBA7441; UBA7441)
83,1675,1675_MSA.fa.ufboot.ale.uml_rec,1.11,1.04,0.11,0.02,2.13,>opitutales_genome3|116763 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.04110 PQQ-dependent sugar dehydrogenase (Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Halomonadaceae; Halomonas_B; Halomonas_B)
83,1292,1292_MSA.fa.ufboot.ale.uml_rec,1.01,0,0,0.7,2.1,>opitutales_genome3|117134 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.05040 Hsp20/alpha crystallin family protein (Bacteria; Desulfobacterota; Syntrophia; Syntrophales; JAFGHS01; JAFGHS01; JAFGHS01)
83,711,711_MSA.fa.ufboot.ale.uml_rec,0.1,1.3,0,0.2,2.05,>opitutales_genome3|116657 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.03844 monovalent cation/H+ antiporter subunit D family protein (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; JACDHS01; JACDHS01; JACDHS01)
83,4515,4515_MSA.fa.ufboot.ale.uml_rec,1.03,0,0,0.92,2.04,>opitutales_genome3|116752 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.04081 cytochrome c biogenesis protein ResB (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; JACDHS01; JACDHS01; JACDHS01)
83,4646,4646_MSA.fa.ufboot.ale.uml_rec,0.8,0.19,0.04,0.02,2.01,>opitutales_genome3|115222 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00118 ABC transporter permease (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; NORP342; NORP342)
83,2935,2935_MSA.fa.ufboot.ale.uml_rec,0.76,0,0,0,2,>opitutales_genome3|115382 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.00575 hypothetical protein EA425_09690 (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; REEB01; REEB01)
83,1412,1412_MSA.fa.ufboot.ale.uml_rec,0,1.04,0,0,1.99,>opitutales_genome3|117121 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.05003 transcription termination factor Rho (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; Lacunisphaera; Lacunisphaera)
83,1393,1393_MSA.fa.ufboot.ale.uml_rec,0,1,0,0,1.99,>opitutales_genome3|115943 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.02145 UDPGP type 1 family protein (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; J108; J108)
83,4374,4374_MSA.fa.ufboot.ale.uml_rec,0.78,0,0.02,0,1.98,>opitutales_genome3|115284 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.00320 ATPase (Bacteria; Myxococcota; UBA6777; UBA6777; UBA6777; UBA6777; UBA6777)
83,4064,4064_MSA.fa.ufboot.ale.uml_rec,0,1.22,0,0.04,1.97,>opitutales_genome3|116161 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.02610 TPA
83,610,610_MSA.fa.ufboot.ale.uml_rec,0.48,0.56,0.19,0.04,1.96,>opitutales_genome3|116229 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.02795 Na+
83,2103,2103_MSA.fa.ufboot.ale.uml_rec,0,1.21,0.01,0,1.96,>opitutales_genome3|116962 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.04566 hypothetical protein EA425_06285 (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; REEB01; REEB01)
83,1475,1475_MSA.fa.ufboot.ale.uml_rec,0,1,0,0,1.95,>opitutales_genome3|116320 [Paralogue] opitutales_genome3|opitutales_genome3.c0000.03081 AAA family ATPase (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; J108; J108)
83,2026,2026_MSA.fa.ufboot.ale.uml_rec,0.02,1.85,0.03,0,1.94,>opitutales_genome3|115987 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.02265 protoporphyrinogen oxidase [Metabolism
83,1699,1699_MSA.fa.ufboot.ale.uml_rec,0,1.83,0.01,0,1.94,>opitutales_genome3|115880 [Orthologue] opitutales_genome3|opitutales_genome3.c0000.02000 tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB (Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; J108; J108)
